Phylum ,Abundance,Station ,Type 
Plantomycetes,0.937306833,3,CIL_FL
Verrucomicrobia,4.899315296,3,CIL_FL
Unclassified_Bacteria,0.096286434,3,CIL_FL
Alphaproteobacteria,27.49064982,4,CIL_FL
Betaproteobacteria,0.768917866,4,CIL_FL
Gammaproteobacteria,25.62852397,4,CIL_FL
Deltaproteobacteria,25.62852397,4,CIL_FL
Actinobacteria,1.625970328,4,CIL_FL
Bacteroidetes,13.35917108,4,CIL_FL
Chlamydiae,0.022033649,4,CIL_FL
Chloroflexi,0.023728545,4,CIL_FL
Cyanobacteria,0.227116078,4,CIL_FL
Deferribacteres,0.196042983,4,CIL_FL
Lentisphaerae,0.011864273,4,CIL_FL
Plantomycetes,0.73784477,4,CIL_FL
Verrucomicrobia,4.185263443,4,CIL_FL
Unclassified_Bacteria,0.03050813,4,CIL_FL
Alphaproteobacteria,30.65816637,5,CIL_FL
Betaproteobacteria,1.329007887,5,CIL_FL
Gammaproteobacteria,18.4423375,5,CIL_FL
Deltaproteobacteria,18.4423375,5,CIL_FL
Actinobacteria,1.554274097,5,CIL_FL
Bacteroidetes,17.2890247,5,CIL_FL
Chlamydiae,0.059610836,5,CIL_FL
Chloroflexi,0.087220065,5,CIL_FL
Cyanobacteria,0.190127191,5,CIL_FL
Deferribacteres,0.431707944,5,CIL_FL
Lentisphaerae,0.079062793,5,CIL_FL
Plantomycetes,1.371049213,5,CIL_FL
Verrucomicrobia,9.814453432,5,CIL_FL
Unclassified_Bacteria,0.121104118,5,CIL_FL
Alphaproteobacteria,27.15747848,6,CIL_FL
Betaproteobacteria,1.027370707,6,CIL_FL
Gammaproteobacteria,20.30381742,6,CIL_FL
Deltaproteobacteria,20.30381742,6,CIL_FL
Actinobacteria,2.078648782,6,CIL_FL
Bacteroidetes,14.69980099,6,CIL_FL
Chlamydiae,0.110490812,6,CIL_FL
Chloroflexi,0.795404616,6,CIL_FL
Cyanobacteria,0.266857925,6,CIL_FL
Deferribacteres,3.112480939,6,CIL_FL
Lentisphaerae,0.195135819,6,CIL_FL
Plantomycetes,3.455583986,6,CIL_FL
Verrucomicrobia,5.466387532,6,CIL_FL
Unclassified_Bacteria,0.845803934,6,CIL_FL
Alphaproteobacteria,40.23516274,7,CIL_FL
Betaproteobacteria,1.610667718,7,CIL_FL
Gammaproteobacteria,12.87220416,7,CIL_FL
Deltaproteobacteria,12.87220416,7,CIL_FL
Actinobacteria,1.812986501,7,CIL_FL
Bacteroidetes,27.48645187,7,CIL_FL
Chlamydiae,0.012480704,7,CIL_FL
Chloroflexi,0.030873321,7,CIL_FL
Cyanobacteria,0.136630867,7,CIL_FL
Deferribacteres,0.105100667,7,CIL_FL
Lentisphaerae,0.000656879,7,CIL_FL
Plantomycetes,0.297566263,7,CIL_FL
Verrucomicrobia,2.113180281,7,CIL_FL
Unclassified_Bacteria,0.367852334,7,CIL_FL
Alphaproteobacteria,29.24727131,8,CIL_FL
Betaproteobacteria,0.916626438,8,CIL_FL
Gammaproteobacteria,23.19235615,8,CIL_FL
Deltaproteobacteria,23.19235615,8,CIL_FL
Actinobacteria,1.637211383,8,CIL_FL
Bacteroidetes,10.30365826,8,CIL_FL
Chlamydiae,0.054750327,8,CIL_FL
Chloroflexi,0.076532715,8,CIL_FL
Cyanobacteria,0.311429278,8,CIL_FL
Deferribacteres,0.207227043,8,CIL_FL
Lentisphaerae,0.100081243,8,CIL_FL
Plantomycetes,2.731040492,8,CIL_FL
Verrucomicrobia,7.840482273,8,CIL_FL
Unclassified_Bacteria,0.065347164,8,CIL_FL
Alphaproteobacteria,27.83043341,10,CIL_FL
Betaproteobacteria,1.407149636,10,CIL_FL
Gammaproteobacteria,19.16988295,10,CIL_FL
Deltaproteobacteria,19.16988295,10,CIL_FL
Actinobacteria,2.972477064,10,CIL_FL
Bacteroidetes,14.59031952,10,CIL_FL
Chlamydiae,0.075292629,10,CIL_FL
Chloroflexi,0.232204998,10,CIL_FL
Cyanobacteria,0.615627966,10,CIL_FL
Deferribacteres,0.604871876,10,CIL_FL
Lentisphaerae,0.158810503,10,CIL_FL
Plantomycetes,4.563112939,10,CIL_FL
Verrucomicrobia,8.302435937,10,CIL_FL
Unclassified_Bacteria,0.17905726,10,CIL_FL
Alphaproteobacteria,27.9235341,1,CIL_PA
Betaproteobacteria,1.263402978,1,CIL_PA
Gammaproteobacteria,23.45995956,1,CIL_PA
Deltaproteobacteria,23.45995956,1,CIL_PA
Actinobacteria,3.681146989,1,CIL_PA
Bacteroidetes,8.53317811,1,CIL_PA
Chlamydiae,0.003676245,1,CIL_PA
Chloroflexi,0.991973531,1,CIL_PA
Cyanobacteria,0.107223822,1,CIL_PA
Deferribacteres,0.649470008,1,CIL_PA
Lentisphaerae,0.054530972,1,CIL_PA
Plantomycetes,4.48256847,1,CIL_PA
Verrucomicrobia,5.078732921,1,CIL_PA
Unclassified_Bacteria,0.064334293,1,CIL_PA
Alphaproteobacteria,5.533386853,2,CIL_PA
Betaproteobacteria,0.433863808,2,CIL_PA
Gammaproteobacteria,26.08672554,2,CIL_PA
Deltaproteobacteria,26.08672554,2,CIL_PA
Actinobacteria,1.780907631,2,CIL_PA
Bacteroidetes,14.35115225,2,CIL_PA
Chlamydiae,0.12514167,2,CIL_PA
Chloroflexi,0.0194796,2,CIL_PA
Cyanobacteria,2.786173026,2,CIL_PA
Deferribacteres,0.011215527,2,CIL_PA
Lentisphaerae,0.750259728,2,CIL_PA
Plantomycetes,14.65279089,2,CIL_PA
Verrucomicrobia,5.665612013,2,CIL_PA
Unclassified_Bacteria,1.267944843,2,CIL_PA
Alphaproteobacteria,8.521579977,3,CIL_PA
Betaproteobacteria,0.62171577,3,CIL_PA
Gammaproteobacteria,24.37385605,3,CIL_PA
Deltaproteobacteria,24.37385605,3,CIL_PA
Actinobacteria,1.33022377,3,CIL_PA
Bacteroidetes,25.65330342,3,CIL_PA
Chlamydiae,0.108637893,3,CIL_PA
Chloroflexi,0,3,CIL_PA
Cyanobacteria,2.233571471,3,CIL_PA
Deferribacteres,0.00177127,3,CIL_PA
Lentisphaerae,2.100726221,3,CIL_PA
Plantomycetes,3.635236465,3,CIL_PA
Verrucomicrobia,6.108519809,3,CIL_PA
Unclassified_Bacteria,0.631162544,3,CIL_PA
Alphaproteobacteria,5.705160208,4,CIL_PA
Betaproteobacteria,0.628560086,4,CIL_PA
Gammaproteobacteria,25.10511088,4,CIL_PA
Deltaproteobacteria,25.10511088,4,CIL_PA
Actinobacteria,1.599369636,4,CIL_PA
Bacteroidetes,17.10766121,4,CIL_PA
Chlamydiae,0.114885145,4,CIL_PA
Chloroflexi,0.015638816,4,CIL_PA
Cyanobacteria,3.159040739,4,CIL_PA
Deferribacteres,0.03308211,4,CIL_PA
